Title,Author,Price,Stars,URL
BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir,Aditya Ranjan Sir,₹110.00,4.9 out of 5 stars,https://www.amazon.in/BRAHMASTRA-Complete-Multicolored-Formula-BILINGUAL/dp/9387910016/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
Ikigai,Francesc Miralles,₹353.00,4.6 out of 5 stars,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
The Psychology Of Money,Morgan Housel,₹231.00,4.6 out of 5 stars,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
"PW Physics Med Easy Notes | Notes, Formulas, Mnemonics, Tips & Tricks for NEET/JEE & Board Exams | MR Sir Physics Handwritten Notes",Dr. Manish Raj (MR. Sir),₹421.00,4.9 out of 5 stars,https://www.amazon.in/Physics-Formulas-Mnemonics-Tricks-Handwritten/dp/8119352947/ref=zg_bs_g_books_sccl_4/000-0000000-0000000?psc=1
Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,₹467.00,4.6 out of 5 stars,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_g_books_sccl_5/000-0000000-0000000?psc=1
The Power of Your Subconscious Mind,Joseph Murphy,₹104.00,4.5 out of 5 stars,https://www.amazon.in/Power-Your-Subconscious-Mind/dp/8194790832/ref=zg_bs_g_books_sccl_6/000-0000000-0000000?psc=1
Don't Believe Everything You Think (English),Joseph Nguyen,₹175.00,4.5 out of 5 stars,https://www.amazon.in/Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_g_books_sccl_7/000-0000000-0000000?psc=1
"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,₹139.00,4.4 out of 5 stars,https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=zg_bs_g_books_sccl_8/000-0000000-0000000?psc=1
Diary Of A Wimpy Kid: No Brainer (Book 18),Jeff Kinney,₹412.00,4.8 out of 5 stars,https://www.amazon.in/Diary-Wimpy-Kid-Brainer-Book/dp/0241583136/ref=zg_bs_g_books_sccl_9/000-0000000-0000000?psc=1
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,₹398.00,4.5 out of 5 stars,https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_sccl_10/000-0000000-0000000?psc=1
How to Win Friends and Influence People,Dale Carnegie,₹89.00,4.5 out of 5 stars,https://www.amazon.in/How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_g_books_sccl_11/000-0000000-0000000?psc=1
Shrimad Bhagwat Geeta Yatharoop,A.C. Bhaktivendanta Swami Prabhupada,₹248.00,4.8 out of 5 stars,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_g_books_sccl_12/000-0000000-0000000?psc=1
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,₹85.00,4.4 out of 5 stars,https://www.amazon.in/Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_g_books_sccl_13/000-0000000-0000000?psc=1
World's Greatest Pack for Personal Growth and Wealth (Set of 4 Books),Dale Carnegie,₹288.00,4.5 out of 5 stars,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_g_books_sccl_14/000-0000000-0000000?psc=1
Rich Dad Poor Dad: 25th Anniversary Edit: (25th Anniversary Edition),Robert T. Kiyosaki,₹401.00,4.5 out of 5 stars,https://www.amazon.in/Rich-Dad-Poor-Middle-Anniversary/dp/1612681131/ref=zg_bs_g_books_sccl_15/000-0000000-0000000?psc=1
India that is Bharat,J Sai Deepak,₹378.00,4.8 out of 5 stars,https://www.amazon.in/India-that-Bharat-Civilisation-Constitution/dp/9354352499/ref=zg_bs_g_books_sccl_16/000-0000000-0000000?psc=1
You Can,George Matthew Adams,₹98.00,4.3 out of 5 stars,https://www.amazon.in/You-Can-George-Matthew-Adams/dp/9389931843/ref=zg_bs_g_books_sccl_17/000-0000000-0000000?psc=1
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Murty Sudha,₹162.00,4.6 out of 5 stars,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_g_books_sccl_18/000-0000000-0000000?psc=1
THE 48 LAWS OF POWER,Robert Greene,₹510.00,4.6 out of 5 stars,https://www.amazon.in/Laws-Power-Robert-Greene-Collection/dp/1861972784/ref=zg_bs_g_books_sccl_19/000-0000000-0000000?psc=1
